Комната;Серия;Тип товара;Цена;Количество;Цвет;Ссылка
Спальня;MALM МАЛЬМ;Кровать;20 799 ₽;1;белый;https://www.ikea.com/ru/ru/p/malm-malm-karkas-krovati-2-krovatnyh-yashchika-belyy-luroy-s69211019/
Спальня;HYLLESTAD ХИЛЛЕСТАД;Матрас;21 999 ₽;1;белый;https://www.ikea.com/ru/ru/p/hyllestad-hillestad-matras-s-pruzhinami-karmannogo-tipa-sredney-zhestkosti-belyy-50425807/
Спальня;PAX ПАКС / GRIMO ГРИМО;Гардероб;48 500 ₽;1;белый;https://www.ikea.com/ru/ru/p/pax-paks-garderob-belyy-mehamn-s99305790/ 
Спальня;MALM МАЛЬМ;Комод;2 499 ₽;2;белый;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-2-yashchikami-belyy-00368531/
Спальня;SYVDE СЮВДЕ;Туалетный столик;9 999 ₽;1;белый;https://www.ikea.com/ru/ru/p/syvde-syuvde-tualetnyy-stolik-belyy-40439560/ 
Спальня;EKEDALEN ЭКЕДАЛЕН;Стул;5 299 ₽;1;белый;https://www.ikea.com/ru/ru/p/ekedalen-ekedalen-stul-belyy-hakebu-bezhevyy-s39429388/ 
Спальня;VOLLERSLEV ВОЛЛЕРСЛЕВ;Ковер;9 999 ₽;1;белый;https://www.ikea.com/ru/ru/p/vollerslev-vollerslev-kover-dlinnyy-vors-belyy-90492545/
Спальня;ROTSUND РОТСУНД;Зеркало;5 999 ₽;1;белый;https://www.ikea.com/ru/ru/p/rotsund-rotsund-zerkalo-belyy-10446784/ 
Кабинет;LAGKAPTEN ЛАГКАПТЕН / ALEX АЛЕКС;Письменный стол;8 799 ₽;1;синий/белый;https://www.ikea.com/ru/ru/p/lagkapten-lagkapten-alex-aleks-pismennyy-stol-siniy-belyy-s69417987/
Кабинет;LÅNGFJÄLL ЛОНГФЬЕЛЛЬ;Стул;9 999 ₽;1;синий/белый;https://www.ikea.com/ru/ru/p/langfjaell-longfell-rabochiy-stul-s-podlokotnikami-gunnared-siniy-belyy-s89386206/ 
Кабинет;LIATORP ЛИАТОРП;Стелаж;61 997 ₽;1;белый;https://www.ikea.com/ru/ru/p/liatorp-liatorp-kombinaciya-d-hraneniya-belyy-s09244046/ 
Кабинет;NYFORS НИФОРС;Настольная лампа;4 999 ₽;1;никелированный белый;https://www.ikea.com/ru/ru/p/nyfors-nifors-lampa-rabochaya-nikelirovannyy-belyy-40356197/ 
Кабинет;BERGSHULT БЕРГСХУЛЬТ / GRANHULT ГРАНГУЛЬТ;Навесная полка;4 197 ₽;1;белый/никелированный;https://www.ikea.com/ru/ru/p/bergshult-bergshult-granhult-grangult-navesnaya-polka-kombinaciya-belyy-nikelirovannyy-s39291084/
Кабинет;LANDSKRONA ЛАНДСКРУНА;Кресло;35 999 ₽;2;белый/метал;https://www.ikea.com/ru/ru/p/landskrona-landskruna-kreslo-grann-bumstad-belyy-metall-s49248882/ 
Кабинет;LANDSKRONA ЛАНДСКРУНА;Табурет для ног;19 999 ₽;1;белый/метал;https://www.ikea.com/ru/ru/p/landskrona-landskruna-taburet-dlya-nog-grann-bumstad-belyy-metall-s69248895/ 
Кабинет;LOKALT ЛОКАЛЬТ;Ковер;15 999 ₽;1;разноцветный;https://www.ikea.com/ru/ru/p/lokalt-lokalt-kover-neokrashennyy-raznocvetnyy-ruchnaya-rabota-60499497/ 
